id,web_name,first_name,second_name,element_type,team,now_cost,form,total_points,minutes,goals_scored,assists,clean_sheets,saves,selected_by_percent,influence,creativity,threat,position,cost
244,Lavia,Roméo,Lavia,3,7,50,0.0,26,792,0,1,3,0,0.1,113.2,121.7,7.0,MID,5.0
245,Mudryk,Mykhailo,Mudryk,3,7,50,0.0,7,145,0,0,0,0,0.0,23.2,31.5,31.0,MID,5.0
246,Andrey Santos,Andrey,Nascimento dos Santos,3,7,45,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,MID,4.5
247,D.Essugo,Dário,Luís Essugo,3,7,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
248,Paez,Kendry,Páez Andrade,3,7,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
249,João Pedro,João Pedro,Junqueira de Jesus,4,7,75,0.0,126,1946,10,6,6,0,52.0,567.0,456.0,644.0,FWD,7.5
250,Delap,Liam,Delap,4,7,65,0.0,132,2587,12,2,3,0,4.6,513.0,290.5,783.0,FWD,6.5
251,N.Jackson,Nicolas,Jackson,4,7,65,0.0,121,2220,10,6,11,0,0.1,546.4,368.3,976.0,FWD,6.5
672,Hato,Jorrel,Hato,2,7,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,DEF,5.0
253,Henderson,Dean,Henderson,1,8,50,0.0,135,3420,0,0,11,104,3.5,853.6,30.0,4.0,GK,5.0
254,Benitez,Walter,Benítez,1,8,40,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,GK,4.0
255,Matthews,Remi,Matthews,1,8,40,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,GK,4.0
256,Muñoz,Daniel,Muñoz Mejía,2,8,55,0.0,142,3229,4,6,11,0,8.5,816.6,634.2,524.0,DEF,5.5
257,Lacroix,Maxence,Lacroix,2,8,50,0.0,114,3116,1,2,11,0,1.0,723.8,113.7,277.0,DEF,5.0
258,Mitchell,Tyrick,Mitchell,2,8,50,0.0,123,3090,0,6,12,0,1.0,630.8,559.1,170.0,DEF,5.0
259,Sosa,Borna,Sosa,2,8,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,DEF,5.0
260,Guéhi,Marc,Guéhi,2,8,45,0.0,116,3059,3,2,11,0,13.2,827.0,237.6,247.0,DEF,4.5
261,Richards,Chris,Richards,2,8,45,0.0,68,1921,1,1,7,0,0.9,470.8,45.0,181.0,DEF,4.5
262,Chadi Riad,Chadi,Riad Dnanou,2,8,40,0.0,1,90,0,0,0,0,0.0,18.2,1.3,0.0,DEF,4.0
263,Clyne,Nathaniel,Clyne,2,8,40,0.0,18,477,0,0,1,0,0.7,66.6,51.8,8.0,DEF,4.0
264,Holding,Rob,Holding,2,8,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
265,Kporha,Caleb,Kporha,2,8,40,0.0,2,11,0,0,0,0,0.2,8.0,4.6,0.0,DEF,4.0
266,Eze,Eberechi,Eze,3,8,75,0.0,148,2588,8,8,10,0,9.2,685.0,849.2,691.0,MID,7.5
267,Sarr,Ismaïla,Sarr,3,8,65,0.0,149,2708,8,7,10,0,2.3,675.0,618.0,866.0,MID,6.5
268,Doucouré,Cheick,Doucouré,3,8,50,0.0,19,443,0,1,1,0,0.0,58.6,25.7,23.0,MID,5.0
269,Esse,Romain,Esse,3,8,50,0.0,22,138,1,2,0,0,0.3,74.8,38.4,51.0,MID,5.0
270,Hughes,Will,Hughes,3,8,50,0.0,67,2100,0,4,10,0,0.1,335.2,462.6,90.0,MID,5.0
271,Kamada,Daichi,Kamada,3,8,50,0.0,45,1545,0,0,3,0,0.1,219.2,314.1,145.0,MID,5.0
272,Lerma,Jefferson,Lerma Solís,3,8,50,0.0,58,2270,0,1,6,0,0.1,401.4,190.2,197.0,MID,5.0
273,Wharton,Adam,Wharton,3,8,50,0.0,42,1314,0,2,4,0,0.5,261.2,381.4,69.0,MID,5.0
274,Agbinone,Asher,Agbinone,3,8,45,0.0,2,4,0,0,0,0,0.1,4.0,10.6,1.0,MID,4.5
275,Ahamada,Naouirou,Ahamada,3,8,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
276,Devenny,Justin,Devenny,3,8,45,0.0,34,494,1,1,0,0,1.7,138.8,101.8,90.0,MID,4.5
277,Ebiowei,Malcolm,Ebiowei,3,8,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
278,J.Rak-Sakyi,Jesurun,Rak-Sakyi,3,8,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
279,M.França,Matheus,França de Oliveira,3,8,45,0.0,9,52,1,0,0,0,0.1,48.4,1.2,66.0,MID,4.5
280,Ozoh,David,Ozoh,3,8,45,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,4.5
281,Rodney,Kaden,Rodney,3,8,45,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,4.5
282,Umeh,Franco,Umeh-Chibueze,3,8,45,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,4.5
283,Mateta,Jean-Philippe,Mateta,4,8,75,0.0,150,2642,14,2,9,0,6.3,671.6,405.4,800.0,FWD,7.5
284,Nketiah,Eddie,Nketiah,4,8,55,0.0,53,1018,3,2,2,0,1.6,192.2,163.7,475.0,FWD,5.5
285,Édouard,Odsonne,Édouard,4,8,50,0.0,7,141,0,0,0,0,1.1,5.0,25.0,50.0,FWD,5.0
286,Marsh,Zach,Marsh,4,8,45,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,FWD,4.5
242,Dewsbury-Hall,Kiernan,Dewsbury-Hall,3,9,50,0.0,18,257,0,1,0,0,0.7,57.4,47.4,21.0,MID,5.0
287,Pickford,Jordan,Pickford,1,9,55,0.0,158,3420,0,1,12,122,12.2,1052.0,20.3,0.0,GK,5.5
288,Travers,Mark,Travers,1,9,45,0.0,19,450,0,0,1,20,0.2,146.4,0.0,0.0,GK,4.5
